"activity","activity_plain","sub_activity","sub_activity_plain","fiscal_year","revenue","cpi_auc_start","cpi_auc_end","inflation_rate","revenue_adjusted","percent_total","revenue_source","revenue_source_url","cpi_source","cpi_source_url"
"Unemployment Insurance","Unemployment Insurance","Federal Unemployment Taxes Refunds","Federal Unemployment Taxes Refunds",2015,-181926404,237.945,252.439,1.06091323625208,-193008130,-0.36,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Railroad Unemployment Taxes","Railroad Unemployment Taxes",2015,74796640,237.945,252.439,1.06091323625208,79352745,0.15,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","","",2015,9517129949,237.945,252.439,1.06091323625208,10096849135,0.29,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","Federal Employees' Retirement - Employee Share","Federal Government Pension: FERS",2015,3627817807,237.945,252.439,1.06091323625208,3848799930,99.36,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","Non-Federal Federal Employees' Retirement","Non-Federal Federal Employees' Retirement",2015,23353182,237.945,252.439,1.06091323625208,24775700,0.64,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","","",2015,98278948223,237.945,252.439,1.06091323625208,104265437015,3.03,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Miscellaneous Excise Taxes","Miscellaneous Excise Taxes",2015,50801405426,237.945,252.439,1.06091323625208,53895883437,51.69,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Miscellaneous Excise Taxes Refunds","Miscellaneous Excise Taxes Refunds",2015,-4584744595,237.945,252.439,1.06091323625208,-4864016226,-4.67,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Airport and Airway Trust Fund","Airport and Airway Trust Fund",2015,13402905760,237.945,252.439,1.06091323625208,14219320125,13.64,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Airport and Airway Trust Fund Refunds","Airport and Airway Trust Fund Refunds",2015,-19052056,237.945,252.439,1.06091323625208,-20212579,-0.02,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
