"institution","state","type","undergrad_students","grad_students","non-research_grants","research_grants","contracts","subsidized_student_loans","unsubsidized_student_loan","parent_plus","grad_plus","pell_teach_service_grants","perkins_loans_AY17","fseog_AY17","federal_work_study_AY17"
"Bellin College","WI","Private not-for-profit, 4-year or above","305","45",0,0,0,943314,1412722,348506,4000,275089,NA,NA,NA
"Bellingham Technical College","WA","Public, 4-year or above","2301","NULL",877761.43,649482,0,1751879,2349747,21800,0,5116952.04,NA,NA,NA
"Belmont Abbey College","NC","Private not-for-profit, 4-year or above","1560","NULL",0,0,0,3287619,3713035,4804529,0,2401521.38,NA,NA,NA
"Belmont College","OH","Public, 2-year","1042","NULL",0,0,0,466834,752901,0,0,1763594,NA,NA,NA
"Belmont University","TN","Private not-for-profit, 4-year or above","5837","1367",0,0,0,9121353,31053510,35618570,18848720,4742403.45,NA,NA,NA
"Beloit College","WI","Private not-for-profit, 4-year or above","1225","NULL",682065,242136,0,2708191,2082592,1683460,0,1616661,NA,NA,NA
"Bemidji State University","MN","Public, 4-year or above","4754","290",1507681,301509,0,7802677,12168440,1120261,4147,6397174,NA,NA,NA
"Ben Franklin Career Center","WV","Public, less-than 2-year","435","NULL",0,0,0,NA,NA,NA,NA,239519,NA,NA,NA
"Benedict College","SC","Private not-for-profit, 4-year or above","2444","NULL",5363272,649738,-288.75,6733092,7509543,7654120,0,8336431,NA,NA,NA
"Benedictine College","KS","Private not-for-profit, 4-year or above","2133","56",0,0,0,3611137,3895026,5354699,0,1679150.14,413224,413165,382389
"Benedictine University","IL","Private not-for-profit, 4-year or above","3818","2607",-91474,0,0,7266184,27522372,6611813,1477808,5351602,NA,NA,NA
"Benjamin Franklin Institute of Technology","MA","Private not-for-profit, 4-year or above","510","NULL",449595,0,0,1318761,1298882,161894,0,1531475,NA,NA,NA
"Bennett College","NC","Private not-for-profit, 4-year or above","633","NULL",4059326,0,0,1445851,1259348,1184592,0,1608548.42,NA,NA,NA
"Bennington College","VT","Private not-for-profit, 4-year or above","660","97",78421,260953,10000,1398894,1318326,1117284,20962,757871,NA,NA,NA
"Bentley University","MA","Private not-for-profit, 4-year or above","4264","1349",384155.76,0,9190,7752015,9297804,6958787,438305,2666690,NA,NA,NA
"Berea College","KY","Private not-for-profit, 4-year or above","1621","NULL",43210709,0,0,308233,432665,0,0,7291917.04,NA,NA,NA
"Bergen Community College","NJ","Public, 2-year","15651","NULL",2235599,0,0,7688414,8542786,291251,0,20780723.03,NA,NA,NA
"Bergin University of Canine Studies","CA","Private not-for-profit, 4-year or above","43","33",0,0,0,30716,105110,21420,0,45667,NA,NA,NA
"Berkeley City College","CA","Public, 2-year","6378","NULL",0,0,0,419466,517829,32080,0,5465365.18,NA,NA,NA
"Berklee College of Music","MA","Private not-for-profit, 4-year or above","4743","177",25000,0,0,9345403,12363852,26425895,2118751,5592241,NA,NA,NA
"Berks Career & Technology Center","PA","Public, less-than 2-year","65","NULL",0,0,0,27839,47585,0,0,48720,NA,NA,NA
"Berkshire Community College","MA","Public, 2-year","2230","NULL",646757,0,0,1253130,1200738,16528,0,3159130.4,NA,NA,NA
"Berry College","GA","Private not-for-profit, 4-year or above","2085","122",0,784813,0,3185793,4058280,3674317,13076,1974082,NA,NA,NA
"Bet Medrash Gadol Ateret Torah","NY","Private not-for-profit, 4-year or above","118","NULL",0,0,0,NA,NA,NA,NA,428045,NA,NA,NA
"Beth Hamedrash Shaarei Yosher Institute","NY","Private not-for-profit, 4-year or above","42","NULL",0,0,0,NA,NA,NA,NA,177630,NA,NA,NA
"Beth Hatalmud Rabbinical College","NY","Private not-for-profit, 4-year or above","29","NULL",0,0,0,NA,NA,NA,NA,58968,NA,NA,NA
"Beth Medrash Govoha","NJ","Private not-for-profit, 4-year or above","2703","3832",0,0,0,NA,NA,NA,NA,10227471,NA,NA,NA
"Beth Medrash Meor Yitzchok","NY","Private not-for-profit, 4-year or above","166","NULL",0,0,0,NA,NA,NA,NA,405810,NA,NA,NA
"Beth Medrash of Asbury Park","NJ","Private not-for-profit, 4-year or above",NA,NA,0,0,0,NA,NA,NA,NA,188533,NA,NA,NA
"Bethany College","KS","Private not-for-profit, 4-year or above","717","NULL",0,0,0,2300225,1996834,1830335,0,1864029,NA,NA,NA
"Bethany College","WV","Private not-for-profit, 4-year or above","727","27",0,0,0,1531652,1747816,1972418,0,1140410.99,NA,NA,NA
"Bethany Global University","MN","Private not-for-profit, 4-year or above","115","24",0,0,0,500140,654413,112355,0,721700.49,NA,7002,NA
"Bethany Lutheran College","MN","Private not-for-profit, 4-year or above","531","NULL",0,0,0,1250950,1006034,299234,0,793315,NA,NA,NA
"Bethany Theological Seminary","IN","Private not-for-profit, 4-year or above","NULL","53",0,0,0,0,94347,0,0,NA,NA,NA,NA
"Bethel College","VA","Private not-for-profit, 4-year or above","57","NULL",0,0,0,77515,103227,0,0,86497,92280,117937,103901
"Bethel College-Indiana","IN","Private not-for-profit, 4-year or above","1600","230",0,0,0,3342370,4563858,1752177,0,2645350.17,NA,NA,NA
"Bethel College-North Newton","KS","Private not-for-profit, 4-year or above","483","NULL",0,0,0,1237999,1320665,869162,0,918442,NA,NA,NA
"Bethel University","MN","Private not-for-profit, 4-year or above","3014","969",0,71160,0,6648566,18268484,4399660,604286,3408200,2000,443843,599447
"Bethel University","TN","Private not-for-profit, 4-year or above","4792","1588",0,0,0,9653986,26232182,1185344,2786188,10061881.9,2000,443843,599447
"Bethesda University","CA","Private not-for-profit, 4-year or above","269","85",0,0,0,273932,593059,4500,0,433963,NA,NA,NA
"Bethune-Cookman University","FL","Private not-for-profit, 4-year or above","3899","152",5207733,196110,0,14341820,15029727,15672244,51269,15476457,NA,NA,NA
"Beulah Heights University","GA","Private not-for-profit, 4-year or above","454","214",0,0,0,714713,2717650,0,144280,701008.25,NA,NA,NA
"Bevill State Community College","AL","Public, 2-year","3609","NULL",3852020.7,0,0,NA,NA,NA,NA,7882867.12,NA,NA,NA
"Biblical Theological Seminary","PA","Private not-for-profit, 4-year or above","NULL","258",0,0,0,0,928774,0,43439,NA,NA,NA,NA
"Big Bend Community College","WA","Public, 2-year","2016","NULL",3007851,0,0,678185,548597,258273,0,3482711.79,NA,NA,NA
"Big Sandy Community and Technical College","KY","Public, 2-year","4638","NULL",0,0,0,2723957,2178585,2300,0,8516352,NA,NA,NA
"Birmingham Southern College","AL","Private not-for-profit, 4-year or above","1185","NULL",0,0,0,1969603,1987126,3428234,0,1336242.36,NA,NA,NA
"Birthingway College of Midwifery","OR","Private not-for-profit, 4-year or above","76","NULL",0,0,0,150103,201926,0,0,100624,NA,6667,NA
"Bishop State Community College","AL","Public, 2-year","3320","NULL",3675066.71,0,0,NA,NA,NA,NA,8797915.35,NA,NA,NA
"Bismarck State College","ND","Public, 4-year or above","4002","NULL",602559,0,0,2118411,4799045,73173,0,2633871,NA,NA,NA
"Black Hawk College","IL","Public, 2-year","6307","NULL",355237,0,0,911152,1113877,92785,0,5260442,NA,NA,NA
"Black Hills State University","SD","Public, 4-year or above","4020","499",375873,95979,147882,5483484,7141994,913083,0,4648437.25,NA,NA,NA
"Black River Technical College","AR","Public, 2-year","1963","NULL",0,0,0,1004230,871056,0,0,3874634,NA,NA,NA
"Blackburn College","IL","Private not-for-profit, 4-year or above","585","NULL",0,0,0,1398955,1015068,368146,0,1628308.06,NA,NA,NA
"Blackfeet Community College","MT","Private not-for-profit, 2-year","495","NULL",7088249,125000,0,NA,NA,NA,NA,1061469,NA,NA,NA
"Blackhawk Technical College","WI","Public, 2-year","2471","NULL",-39657,0,0,2169001,1300661,8473,0,4026725,NA,NA,NA
"Blackstone Valley Vocational Regional School District","MA","Public, less-than 2-year","49","NULL",0,0,0,36100,60034,0,0,96891,NA,NA,NA
"Bladen Community College","NC","Public, 2-year","1334","NULL",0,0,0,NA,NA,NA,NA,2666196.43,NA,NA,NA
"Blinn College","TX","Public, 2-year","19479","NULL",0,0,126988.86,13596907,14734196,2967077,0,19921240.12,NA,NA,NA
"Bloomfield College","NJ","Private not-for-profit, 4-year or above","1969","2",872496,242136,0,5473104,4832385,3837001,0,6648943.08,NA,NA,NA
"Bloomsburg University of Pennsylvania","PA","Public, 4-year or above","9319","618",772506,129192,0,19553159,24732254,16898742,282647,12592463,NA,NA,NA
"Blue Hills Regional Technical School","MA","Public, less-than 2-year","61","NULL",0,0,0,97726,195725,6297,0,134562,NA,NA,NA
"Blue Mountain College","MS","Private not-for-profit, 4-year or above","520","26",116173,0,0,704234,807039,151847,0,1435891.66,NA,NA,NA
"Blue Mountain Community College","OR","Public, 2-year","1731","NULL",254904,0,0,659348,778120,10000,0,2482560.77,NA,NA,NA
"Blue Ridge Community College","NC","Public, 2-year","2215","NULL",94536,0,0,720187,1073904,3800,0,2557643.28,NA,NA,NA
"Blue Ridge Community College","VA","Public, 2-year","4388","NULL",0,0,0,1370805,1354695,114415,0,5107445,NA,NA,NA
"Bluefield College","VA","Private not-for-profit, 4-year or above","928","17",0,0,0,2591736,4658178,1170157,910929,2445920,NA,NA,NA
"Bluefield State College","WV","Public, 4-year or above","1563","NULL",2764030,0,0,2402359,2795795,163903,0,3550690,NA,NA,NA
"Bluegrass Community and Technical College","KY","Public, 2-year","10952","NULL",1599703.74,0,0,7104478,7150482,494568,0,15953558.17,NA,NA,NA
"Bluffton University","OH","Private not-for-profit, 4-year or above","997","101",0,0,0,2087119,2308389,2460847,0,1319251,NA,NA,NA
"Boise Bible College","ID","Private not-for-profit, 4-year or above","173","NULL",0,0,0,175072,126374,51521,0,268640,NA,NA,NA
"Boise State University","ID","Public, 4-year or above","19351","2983",13726996.24,15395608.81,351609.59,25111100,43995472,10752275,493278,23061432.35,NA,NA,NA
"Bon Secours Memorial College of Nursing","VA","Private not-for-profit, 4-year or above","487","NULL",0,0,0,1106606,1606881,116781,0,316262.69,NA,NA,NA
"Bon Secours St Mary's Hospital School of Medical Imaging","VA","Private not-for-profit, less-than 2-year","31","NULL",0,0,0,77272,87866,0,0,43155.86,NA,NA,NA
"Boricua College","NY","Private not-for-profit, 4-year or above","1104","70",0,0,0,599315,1665514,0,0,3134507.46,NA,111633,178474
"Bossier Parish Community College","LA","Public, 2-year","8580","NULL",-155086.62,0,0,11603603,15089751,223218,0,17134903,NA,NA,NA
"Boston Architectural College","MA","Private not-for-profit, 4-year or above","470","380",0,0,0,501227,3795572,465702,1110512,384074,NA,NA,NA
"Boston Baptist College","MA","Private not-for-profit, 4-year or above","86","NULL",0,0,0,127406,129743,11000,0,110826,NA,NA,NA
"Boston College","MA","Private not-for-profit, 4-year or above","9704","4558",5323490,28852697.99,2672275.31,13798864,35359677,17439894,16173575,6295576,NA,NA,NA
"Boston Graduate School of Psychoanalysis Inc","MA","Private not-for-profit, 4-year or above","NULL","143",0,0,0,0,507403,0,284498,NA,NA,NA,NA
"Boston University","MA","Private not-for-profit, 4-year or above","18017","14226",108227021,246551956.74,9487431.23,26677647,135127515,30683459,65840067,15371809,5407406,3697167,5334519
"Bowdoin College","ME","Private not-for-profit, 4-year or above","1805","NULL",1192682,2926289.16,0,919443,1012577,2942999,0,1366502.5,378529,470045,630744
"Bowie State University","MD","Public, 4-year or above","4456","1115",7780519,1947445.74,0,10724816,19215430,10455891,623143,7144596,NA,NA,NA
"Bowling Green State University-Main Campus","OH","Public, 4-year or above","14099","2574",2062041.45,3968703.66,29296.58,30657703,47868109,34394475,339403,22281510,NA,NA,NA
"Bradford-Union Technical Center","FL","Public, 2-year","213","NULL",0,0,0,NA,NA,NA,NA,353340.94,NA,NA,NA
"Bradley University","IL","Private not-for-profit, 4-year or above","4588","899",0,-90052,0,10991029,23107136,14669704,1730713,5980101,NA,NA,NA
"Brandeis University","MA","Private not-for-profit, 4-year or above","3715","2131",7033705.02,30814227.34,0,5729024,9356868,4683146,2666054,3053963,376886,868997,1150179
"Brandman University","CA","Private not-for-profit, 4-year or above","3990","4178",0,0,0,11177933,61651679,331157,11086597,7668590.2,NA,NA,NA
"Brazosport College","TX","Public, 4-year or above","4155","NULL",0,0,0,153842,125753,0,0,3411218.34,NA,NA,NA
"Brenau University","GA","Private not-for-profit, 4-year or above","1596","1311",0,0,0,5237533,24898844,1604076,7030621,4126098.04,NA,NA,NA
"Brescia University","KY","Private not-for-profit, 4-year or above","972","18",450000,0,0,2277249,3984195,940057,98058,2221545,NA,NA,NA
"Brevard College","NC","Private not-for-profit, 4-year or above","705","NULL",0,0,0,1564778,1289846,2241788,0,731423,NA,NA,NA
"Brewster Technical College","FL","Public, 2-year","270","NULL",4687574.34,0,0,NA,NA,NA,NA,558828.37,NA,NA,NA
"Brewton-Parker College","GA","Private not-for-profit, 4-year or above","638","NULL",0,0,0,1283995,1240244,1089607,0,1547204.46,NA,NA,NA
"Briar Cliff University","IA","Private not-for-profit, 4-year or above","1041","127",1208244.63,0,0,1885629,4374176,954045,2026295,1738917.36,NA,NA,NA
"Bridgerland Applied Technology College","UT","Public, 2-year","1554","NULL",0,225000,0,NA,NA,NA,NA,956110,NA,NA,NA
"BridgeValley Community & Technical College","WV","Public, 2-year","2344","NULL",-997493.84,0,0,1463215,1504290,38642,0,3674409.43,NA,NA,NA
"Bridgewater College","VA","Private not-for-profit, 4-year or above","1785","NULL",0,0,0,4377778,4706940,5810824,107386,2581227.72,NA,NA,NA
"Bridgewater State University","MA","Public, 4-year or above","9628","1481",149250,0,0,22054796,27050419,6881996,0,14948390,NA,NA,NA
"Brigham Young University-Hawaii","HI","Private not-for-profit, 4-year or above","2787","NULL",0,0,0,1484964,653194,169984,0,3874391.3,NA,NA,NA
"Brigham Young University-Idaho","ID","Private not-for-profit, 4-year or above","36624","NULL",0,0,0,31630464,25762902,204973,0,75821100,NA,NA,NA
"Brigham Young University-Provo","UT","Private not-for-profit, 4-year or above","27163","3248",1974493.75,15135734.34,231542.2,15619605,23843227,587436,669984,60209103,NA,NA,NA
"Brighton Center's Center for Employment Training","KY","Private not-for-profit, less-than 2-year","172","NULL",1016456,0,0,NA,NA,NA,NA,180571,NA,NA,NA
"Bristol Community College","MA","Public, 2-year","9189","NULL",1379496,0,0,3064247,4220759,6850,0,14342029.45,NA,NA,NA
"Bristol Technical Education Center","CT","Public, less-than 2-year","55","NULL",0,0,0,NA,NA,NA,NA,42480,NA,NA,NA
"Brookdale Community College","NJ","Public, 2-year","14144","NULL",504443,649258,0,4912421,5801359,166711,0,11672871.25,NA,NA,NA
"Brookhaven College","TX","Public, 2-year","12403","NULL",640722,224813,0,2503139,3042331,0,0,6490543.54,NA,NA,NA
"Brooklyn Law School","NY","Private not-for-profit, 4-year or above","NULL","1175",0,0,0,0,13284029,0,12996350,NA,NA,NA,NA
"Broome Delaware Tioga BOCES-Practical Nursing Program","NY","Public, less-than 2-year","65","NULL",0,0,0,92549,189320,25010,0,168012.49,NA,NA,NA
"Broward College","FL","Public, 4-year or above","44119","NULL",1748241.79,0,5250,18492722,2160442,138127,0,87085475.39,NA,NA,NA
"Brown University","RI","Private not-for-profit, 4-year or above","6548","2806",13420082.68,133631668.02,4874517.69,4560668,16628242,8937625,5071399,4639006,NA,NA,NA
"Brunswick Community College","NC","Public, 2-year","1814","NULL",0,0,0,NA,NA,NA,NA,2108122.48,NA,NA,NA
"Bryan College of Health Sciences","NE","Private not-for-profit, 4-year or above","617","90",215546,0,0,1355468,2548374,946155,644392,675983,NA,NA,NA
"Bryan College-Dayton","TN","Private not-for-profit, 4-year or above","1506","98",0,0,0,1575331,2143656,723207,0,1855166.59,NA,NA,NA
"Bryant University","RI","Private not-for-profit, 4-year or above","3320","211",310310,54483,0,7041446,8449254,7849483,1638231,2077301,NA,NA,NA
"Bryn Athyn College of the New Church","PA","Private not-for-profit, 4-year or above","273","4",0,0,0,742099,617188,676870,0,580718.22,NA,NA,NA
"Bryn Mawr College","PA","Private not-for-profit, 4-year or above","1308","346",0,492584,0,2088560,3911813,2215761,306138,558604,NA,NA,NA
"Buckeye Hills Career Center","OH","Public, less-than 2-year","168","NULL",48616,0,0,199720,315361,0,0,434532.04,NA,NA,NA
"Buckeye Joint Vocational School","OH","Public, less-than 2-year","95","NULL",0,0,0,NA,NA,NA,NA,267091.7,NA,NA,NA
"Bucknell University","PA","Private not-for-profit, 4-year or above","3565","56",59900,2442254.76,0,4150301,3287835,7294847,0,1737354,NA,NA,NA
"Bucks County Community College","PA","Public, 2-year","9155","NULL",10000,0,705933.2,2231987,3926272,72139,0,7818842,NA,NA,NA
"Buena Vista University","IA","Private not-for-profit, 4-year or above","2035","346",0,329633,0,5670270,8109888,1413162,3623,4373414.48,NA,NA,NA
"Bunker Hill Community College","MA","Public, 2-year","14253","NULL",1154415.75,0,0,2294662,2321153,98001,0,23735564.19,NA,NA,NA
"Butler Community College","KS","Public, 2-year","9003","NULL",78046.17,0,0,6708890,7229702,170797,0,10568264,NA,NA,NA
"Butler County Community College","PA","Public, 2-year","3636","NULL",0,0,0,982682,1886366,101855,0,4755045.12,NA,NA,NA
"Butler Tech-D Russel Lee Career Center","OH","Public, less-than 2-year","416","NULL",0,0,0,335171,668382,66593,0,543177.75,NA,NA,NA
"Butler University","IN","Private not-for-profit, 4-year or above","4062","769",510500.3,492570,0,7307041,14956691,13083303,4081339,2916225,NA,NA,NA
"Butte College","CA","Public, 2-year","12157","NULL",500699,0,0,2025070,2050960,142541,0,16832024.6,NA,NA,NA
"Butte County Regional Occupational Program","CA","Public, less-than 2-year",NA,NA,0,0,0,66927,88968,0,0,161876.4,NA,NA,NA
