"agency","subagency","institution","contracts","grants"
"Department of Defense","Department of the Navy","Quinnipiac University",478339.4,NA
"Department of Defense","Department of the Navy","Rensselaer Polytechnic Institute",-7529.97,2164085
"Department of Defense","Department of the Navy","Rochester Institute of Technology",90816.96,4676705
"Department of Defense","Department of the Navy","Roger Williams University",187875,NA
"Department of Defense","Department of the Navy","Roosevelt University",16112.24,NA
"Department of Defense","Department of the Navy","Rosalind Franklin University of Medicine and Science",224962.61,NA
"Department of Defense","Department of the Navy","Rowan University",180181.46,120000
"Department of Defense","Department of the Navy","Rutgers University-New Brunswick",331178.67,1089239
"Department of Defense","Department of the Navy","Rutgers University-Newark",99205,NA
"Department of Defense","Department of the Navy","Saint Francis University",67244,57354
"Department of Defense","Department of the Navy","Saint Louis University",594395.94,NA
"Department of Defense","Department of the Navy","Salus University",-9672.71,NA
"Department of Defense","Department of the Navy","San Diego State University",1443621.63,1341298
"Department of Defense","Department of the Navy","San Jose State University",192773,368984
"Department of Defense","Department of the Navy","Savannah State University",475837.91,NA
"Department of Defense","Department of the Navy","Seton Hill University",26004.1,NA
"Department of Defense","Department of the Navy","Southern College of Optometry",37446,NA
"Department of Defense","Department of the Navy","Southern Illinois University-System Office",130630.62,NA
"Department of Defense","Department of the Navy","Southern Methodist University",-3165,187994
"Department of Defense","Department of the Navy","Southern University at New Orleans",330499.93,NA
"Department of Defense","Department of the Navy","Southwestern College",260999,NA
"Department of Defense","Department of the Navy","Stanford University",19587956.78,13366273
"Department of Defense","Department of the Navy","Stevens Institute of Technology",200000,2227561
"Department of Defense","Department of the Navy","Stony Brook University",149200.83,1263338
"Department of Defense","Department of the Navy","SUNY Buffalo State",775096.5,1413211
"Department of Defense","Department of the Navy","SUNY College at Brockport",15000,NA
"Department of Defense","Department of the Navy","SUNY College of Optometry",47384.74,NA
"Department of Defense","Department of the Navy","SUNY Maritime College",76279.3,NA
"Department of Defense","Department of the Navy","Syracuse University",89960,598669
"Department of Defense","Department of the Navy","Temple University",204426.04,922634
"Department of Defense","Department of the Navy","Texas A & M University-College Station",1931641.11,2819221
"Department of Defense","Department of the Navy","Texas Tech University Health Sciences Center",81289.23,NA
"Department of Defense","Department of the Navy","The Commonwealth Medical College",136034.95,NA
"Department of Defense","Department of the Navy","The University of Alabama",34241.95,910044
"Department of Defense","Department of the Navy","The University of Tennessee-Knoxville",474946,4484996
"Department of Defense","Department of the Navy","The University of Texas at Arlington",125000,2579821
"Department of Defense","Department of the Navy","The University of Texas at Austin",88608981.17,7184961
"Department of Defense","Department of the Navy","The University of Texas Health Science Center at Houston",169465.52,NA
"Department of Defense","Department of the Navy","The University of Texas Health Science Center at San Antonio",-6700.54,NA
"Department of Defense","Department of the Navy","The University of Texas MD Anderson Cancer Center",3000,NA
"Department of Defense","Department of the Navy","The University of Texas Medical Branch",88043.46,NA
"Department of Defense","Department of the Navy","The University of Texas Rio Grande Valley",20000,-1
"Department of Defense","Department of the Navy","The University of West Florida",111414.48,NA
"Department of Defense","Department of the Navy","Thomas Jefferson University",273223.62,NA
"Department of Defense","Department of the Navy","Tidewater Community College",1667025.5,NA
"Department of Defense","Department of the Navy","Touro College",294976,NA
"Department of Defense","Department of the Navy","Touro University California",628774.97,NA
"Department of Defense","Department of the Navy","Touro University Nevada",432422.59,NA
"Department of Defense","Department of the Navy","Trident Technical College",2560,250000
"Department of Defense","Department of the Navy","Truckee Meadows Community College",244932,NA
"Department of Defense","Department of the Navy","Tufts University",1915211,2154045
"Department of Defense","Department of the Navy","Tuskegee University",356480,NA
"Department of Defense","Department of the Navy","Union Theological Seminary in the City of New York",-25086,NA
