cluster_final,coc_number,coc_name,class,type,density,land_area,weighted_estimate_median_gross_rent,weighted_income,estimated_pop_2016,weighted_mental_illness,weighted_alcohol_dependence_or_abuse,weighted_drug_use,days_below_32,Property_crime_rate,Total_Year_Round_Beds,total_homeless,sheltered_homeless,unsheltered_homeless,chronically_homeless,homeless_individuals,homeless_people_in_families
2b,OR-502,Medford/Ashland/Jackson County CoC,7,2,75.77230515,2783.55,895,10834,210916,5.03,6.6,12.49,103.9051095,2879,335,633,369,264,170,525,108
2b,AL-502,Florence/Northwest Alabama CoC,7,2,67.58119738,3940.09,578.3248772,9408.964646,266276,4.28,5.82,6.81,73.09990876,3177.6,237,155,133,22,24,155,0
2b,AR-508,Old Fort Homeless Coalition,7,2,62.0143703,4191.98,620.6217231,9527.241388,259963,5.24,5.97,8.06,80.59306569,3338,178,168,80,88,71,131,37
2b,TX-701,Bryan/College Station/Brazos Valley CoC,7,2,59.90848254,5443.77,795.2006084,8048.323575,326128,4.46,6.74,7.48,46.1245438,3019.4,163,102,89,13,14,76,26
2b,TX-604,Waco/McLennan County CoC,7,2,56.76091275,6438.11,741.9785487,10001.87225,365433,4.461455698,6.730295348,7.489219419,49.28832117,3019.4,226,221,162,59,26,125,96
2b,FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",7,2,53.06253244,2543.32,708.7646549,9649.984788,134955,4.32,7.33,12.97,27.64142336,3415.5,119,502,99,403,38,372,130
2b,CA-529,Lake County CoC,7,2,50.99724623,1256.46,882,8130,64076,4.65,7.31,15.8,86.08805,2441.1,43,401,28,373,178,294,107
2b,LA-505,Monroe/Northeast Louisiana CoC,7,2,50.48559954,7043.87,616.0678039,7263.130135,355614,4.09,5.71,6.88,36.93792384,3458.8,249,185,160,25,13,76,109
2b,FL-517,"Hendry, Hardee, Highlands Counties CoC",7,2,50.31041298,5019.12,700.7751966,9380.67182,252514,4.066542687,5.656587833,8.51386038,3.163777372,3415.5,95,609,91,518,283,377,232
2b,LA-507,Alexandria/Central Louisiana CoC,7,2,43.39541335,7101.05,717.5300224,9382.266313,308153,4.6,6.78,7.35,36.30018248,3458.8,134,159,98,61,20,127,32
2b,CA-613,Imperial County CoC,7,2,42.8116171,4176.6,778,9186,178807,3.69,6.43,10.19,7.762203963,2441.1,182,1154,128,1026,105,1034,120
2b,AR-512,"Boone, Baxter, Marion, Newton Counties CoC",7,2,40.0734462,2562.42,593.9756537,10446.61218,102685,6.16,5.26,7.45,102.5729927,3338,52,53,27,26,3,23,30
2b,CA-522,Humboldt County CoC,7,2,37.88743803,3567.99,899,10148,135182,4.65,7.31,15.8,22.03919492,2441.1,398,759,325,434,310,667,92
2b,MI-513,"Marquette, Alger Counties CoC",7,2,28.20445975,2723.47,639.8410706,9834.82058,76814,5.79,7.77,11.33,184.165146,2043.9,69,84,81,3,4,34,50
