Recipient,State,INST_TYPE,LONGITUDE,LATITUDE,COUNTY,Football,Basketball,Fed_Funding_Amt
Illinois State University,IL,"Public, 4-year or above",-88.990058,40.509403,Mclean County,Missouri Valley Conference,Missouri Valley Conference,141005750
Saint Leo University,FL,"Private not-for-profit, 4-year or above",-82.257801,28.336776,Pasco County,NA,Sunshine State Conference,140189106
Loma Linda University,CA,"Private not-for-profit, 4-year or above",-117.260605,34.051241,San Bernardino County,NA,NA,139996150
University of Southern Mississippi,MS,"Public, 4-year or above",-89.331236,31.32661,Forrest County,Conference USA,Conference USA,139960567
Hofstra University,NY,"Private not-for-profit, 4-year or above",-73.60078,40.715959,Nassau County,NA,Colonial Athletic Association,139876241
Lake Erie College of Osteopathic Medicine,PA,"Private not-for-profit, 4-year or above",-80.105969,42.080699,Erie County,NA,NA,139694774
The University of Texas at Dallas,TX,"Public, 4-year or above",-96.749702,32.984673,Dallas County,NA,American Southwest Conference,139678696
Oakland University,MI,"Public, 4-year or above",-83.216418,42.674573,Oakland County,NA,Horizon League,139585862
Indiana Wesleyan University-Marion,IN,"Private not-for-profit, 4-year or above",-85.667503,40.517937,Grant County,Mid-States Football Association,Crossroads League,139096975
North Carolina Central University,NC,"Public, 4-year or above",-78.898602,35.974237,Durham County,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference,138582616
Pace University-New York,NY,"Private not-for-profit, 4-year or above",-74.004719,40.711014,New York County,Northeast 10 Conference,Northeast 10 Conference,138476263
Valencia College,FL,"Public, 4-year or above",-81.471466,28.520898,Orange County,NA,NA,137456448
Middle Tennessee State University,TN,"Public, 4-year or above",-86.360618,35.848005,Rutherford County,Conference USA,Conference USA,135735240
The Chicago School of Professional Psychology at Los Angeles,CA,"Private not-for-profit, 4-year or above",-118.257204,34.047983,Los Angeles County,NA,NA,135140774
University of Maine,ME,"Public, 4-year or above",-68.669332,44.899257,Penobscot County,Atlantic 10 Conference,America East,134609816
Boise State University,ID,"Public, 4-year or above",-116.205789,43.604403,Ada County,Mountain West Conference,Mountain West Conference,133472791
California State University-San Bernardino,CA,"Public, 4-year or above",-117.322508,34.182987,San Bernardino County,NA,California Collegiate Athletic Assoc,133171723
The University of Texas Health Science Center at San Antonio,TX,"Public, 4-year or above",-98.57606,29.504716,Bexar County,NA,NA,133014497
California State University-Fresno,CA,"Public, 4-year or above",-119.748258,36.814477,Fresno County,Mountain West Conference,Mountain West Conference,132692885
Texas Southern University,TX,"Public, 4-year or above",-95.361961,29.722468,Harris County,Southwestern Athletic Conference,Southwestern Athletic Conference,132373837
Baylor University,TX,"Private not-for-profit, 4-year or above",-97.119359,31.545956,Washington County,Big Twelve Conference,Big Twelve Conference,131680552
Savannah College of Art and Design,GA,"Private not-for-profit, 4-year or above",-81.093849,32.072963,Chatham County,NA,NA,131214358
Mercer University,GA,"Private not-for-profit, 4-year or above",-83.648295,32.831787,Bibb County,Southern Conference,Southern Conference,131212806
Cleveland State University,OH,"Public, 4-year or above",-81.673052,41.502918,Cuyahoga County,NA,Horizon League,129513913
Creighton University,NE,"Private not-for-profit, 4-year or above",-95.947029,41.265325,Douglas County,NA,Big East Conference,129413964
Thomas Jefferson University,PA,"Private not-for-profit, 4-year or above",-75.158147,39.949062,Philadelphia County,NA,NA,129265418
Baker College,MI,"Private not-for-profit, 4-year or above",-83.694679,42.974764,Genesee County,NA,NA,129071034
The University of Texas Medical Branch,TX,"Public, 4-year or above",-94.776401,29.311333,Galveston County,NA,NA,128686101
Gallaudet University,DC,"Private not-for-profit, 4-year or above",-76.993675,38.907371,District Of Columbia,Eastern Collegiate Football Conference,North Eastern Athletic Conference,128195472
Embry-Riddle Aeronautical University,FL,"Private not-for-profit, 4-year or above",-81.0495,29.189244,Volusia County,NA,Florida Sun Conference,128084841
Embry-Riddle Aeronautical University,FL,"Private not-for-profit, 4-year or above",-81.0495,29.189244,Volusia County,NA,Florida Sun Conference,128084841
University of San Francisco,CA,"Private not-for-profit, 4-year or above",-122.450977,37.775564,San Francisco County,NA,West Coast Conference,128038501
Lone Star College System,TX,"Public, 2-year",-95.490077,30.188408,Montgomery County,NA,NA,127733430
Missouri State University-Springfield,MO,"Public, 4-year or above",-93.276821,37.197983,Greene County,Missouri Valley Conference,Missouri Valley Conference,127602498
East Tennessee State University,TN,"Public, 4-year or above",-82.366954,36.301643,Washington County,Southern Conference,Southern Conference,126889141
California State Polytechnic University-Pomona,CA,"Public, 4-year or above",-117.819019,34.054273,Los Angeles County,NA,California Collegiate Athletic Assoc,126455442
Barry University,FL,"Private not-for-profit, 4-year or above",-80.196136,25.878865,Miami-Dade County,NA,Sunshine State Conference,126093295
University of North Texas Health Science Center,TX,"Public, 4-year or above",-97.368897,32.749818,Tarrant County,NA,NA,125909522
New Mexico State University-Main Campus,NM,"Public, 4-year or above",-106.747841,32.282875,Da Ana County,Sun Belt Conference,Western Athletic Conference,125441280
Wright State University-Main Campus,OH,"Public, 4-year or above",-84.064881,39.780634,Greene County,NA,Horizon League,124787600
Appalachian State University,NC,"Public, 4-year or above",-81.680234,36.214844,Watauga County,Sun Belt Conference,Sun Belt Conference,124694384
Pepperdine University,CA,"Private not-for-profit, 4-year or above",-118.707077,34.037786,Los Angeles County,NA,West Coast Conference,124667574
The University of Tennessee-Health Science Center,TN,"Public, 4-year or above",-90.030435,35.140634,Shelby County,NA,NA,124621069
Marquette University,WI,"Private not-for-profit, 4-year or above",-87.927961,43.03903,Milwaukee County,NA,Big East Conference,124322497
Troy University,AL,"Public, 4-year or above",-85.957094,31.800672,Pike County,Sun Belt Conference,Sun Belt Conference,124304298
Troy University,AL,"Public, 4-year or above",-85.957094,31.800672,Pike County,Sun Belt Conference,Sun Belt Conference,124304298
Troy University,AL,"Public, 4-year or above",-85.957094,31.800672,Pike County,Sun Belt Conference,Sun Belt Conference,124304298
University of North Dakota,ND,"Public, 4-year or above",-97.071738,47.921654,Grand Forks County,Big Sky Conference,Big Sky Conference,124189951
Jackson State University,MS,"Public, 4-year or above",-90.20663,32.296781,Hinds County,Southwestern Athletic Conference,Southwestern Athletic Conference,123583621
Medical College of Wisconsin,WI,"Private not-for-profit, 4-year or above",-88.022698,43.044108,Milwaukee County,NA,NA,122680921
Southern Illinois University-Edwardsville,IL,"Public, 4-year or above",-89.997779,38.793949,Madison County,NA,Ohio Valley Conference,122280674
Stevens-Henager College,UT,"Private not-for-profit, 4-year or above",-112.011617,41.232847,Weber County,NA,NA,121794868
Eastern Kentucky University,KY,"Public, 4-year or above",-84.301356,37.740396,Madison County,Ohio Valley Conference,Ohio Valley Conference,121641098
New York Institute of Technology,NY,"Private not-for-profit, 4-year or above",-73.6078,40.812447,Nassau County,NA,East Coast Conference,121328193
Western Kentucky University,KY,"Public, 4-year or above",-86.455898,36.985718,Warren County,Conference USA,Conference USA,121063459
The University of Montana,MT,"Public, 4-year or above",-113.982912,46.859312,Missoula County,Big Sky Conference,Big Sky Conference,120754605
University of Massachusetts-Lowell,MA,"Public, 4-year or above",-71.325081,42.65372,Middlesex County,NA,America East,120285031
California Baptist University,CA,"Private not-for-profit, 4-year or above",-117.42587,33.928569,Riverside County,NA,Pacific West Conference,119880550
James Madison University,VA,"Public, 4-year or above",-78.870484,38.436311,Harrisonburg City,Colonial Athletic Association,Colonial Athletic Association,119478226
Rochester Institute of Technology,NY,"Private not-for-profit, 4-year or above",-77.67386,43.084188,Monroe County,NA,Upstate Collegiate Athletic Association,118671781
West Chester University of Pennsylvania,PA,"Public, 4-year or above",-75.59812,39.953398,Chester County,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,118444505
Chapman University,CA,"Private not-for-profit, 4-year or above",-117.851481,33.793678,Orange County,Southern California Intercoll Ath Conf,Southern California Intercoll Ath Conf,117525775
Webster University,MO,"Private not-for-profit, 4-year or above",-90.345654,38.589269,St. Louis County,NA,St. Louis Intercollegiate Ath Conf,116914074
SUNY at Binghamton,NY,"Public, 4-year or above",-75.971143,42.088049,Broome County,NA,America East,115734746
Indiana University of Pennsylvania-Main Campus,PA,"Public, 4-year or above",-79.159869,40.615589,Indiana County,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,115373448
Lincoln Memorial University,TN,"Private not-for-profit, 4-year or above",-83.658818,36.581284,Claiborne County,NA,South Atlantic Conference,114370531
University of Idaho,ID,"Public, 4-year or above",-117.024296,46.726894,Latah County,Sun Belt Conference,Big Sky Conference,113452374
Simmons College,MA,"Private not-for-profit, 4-year or above",-71.099967,42.3393,Suffolk County,NA,Great Northeast Athletic Conference,113414934
Brigham Young University-Provo,UT,"Private not-for-profit, 4-year or above",-111.649281,40.250851,Utah County,Other,West Coast Conference,112512919
Marshall University,WV,"Public, 4-year or above",-82.428964,38.422482,Cabell County,Conference USA,Conference USA,112431585
Boston College,MA,"Private not-for-profit, 4-year or above",-71.171488,42.337688,Middlesex County,Atlantic Coast Conference,Atlantic Coast Conference,111967946
Brigham Young University-Idaho,ID,"Private not-for-profit, 4-year or above",-111.782431,43.818408,Madison County,NA,NA,111624463
Arkansas State University-Main Campus,AR,"Public, 4-year or above",-90.680478,35.842779,Craighead County,Sun Belt Conference,Sun Belt Conference,111585313
University of Arkansas for Medical Sciences,AR,"Public, 4-year or above",-92.320945,34.749718,Pulaski County,NA,NA,111300512
Montana State University,MT,"Public, 4-year or above",-111.049918,45.666829,Gallatin County,Big Sky Conference,Big Sky Conference,110384559
University of West Georgia,GA,"Public, 4-year or above",-85.099007,33.574421,Carroll County,Gulf South Conference,Gulf South Conference,110325641
University of Alaska Fairbanks,AK,"Public, 4-year or above",-147.822943,64.856483,Fairbanks North Star Borough,NA,Great Northwest Athletic Conference,110260675
St Petersburg College,FL,"Public, 4-year or above",-82.717331,27.90242,Pinellas County,NA,NA,110083371
University of San Diego,CA,"Private not-for-profit, 4-year or above",-117.188721,32.77142,San Diego County,Pioneer Football League,West Coast Conference,109888905
California Polytechnic State University-San Luis Obispo,CA,"Public, 4-year or above",-120.657311,35.299513,San Luis Obispo County,Big Sky Conference,Big West Conference,109831949
Broward College,FL,"Public, 4-year or above",-80.14183,26.119422,Broward County,NA,NA,109460062
Campbell University,NC,"Private not-for-profit, 4-year or above",-78.738238,35.409149,Harnett County,Pioneer Football League,Big South Conference,108658047
Duquesne University,PA,"Private not-for-profit, 4-year or above",-79.993046,40.437496,Allegheny County,Northeast Conference,Atlantic 10 Conference,108644589
Southern University and A & M College,LA,"Public, 4-year or above",-91.190105,30.524558,East Baton Rouge Parish,Southwestern Athletic Conference,Southwestern Athletic Conference,108577407
Southern University and A & M College,LA,"Public, 4-year or above",-91.190105,30.524558,East Baton Rouge Parish,Southwestern Athletic Conference,Southwestern Athletic Conference,108577407
Loyola Marymount University,CA,"Private not-for-profit, 4-year or above",-118.415655,33.970633,Los Angeles County,NA,West Coast Conference,107832662
Kean University,NJ,"Public, 4-year or above",-74.234668,40.679429,Union County,New Jersey Athletic Conference,New Jersey Athletic Conference,107571931
Utah Valley University,UT,"Public, 4-year or above",-111.717058,40.278512,Utah County,NA,Western Athletic Conference,107399983
