"source","target","value"
"California State University-Sacramento","Science, Engineering, and Mathematics",1093835.72
"California State University-Sacramento","Refugee and Entrant Assistance",900000
"California State University-Sacramento","Medical R&D",383994
"California State University-San Bernardino","Education",11696657.95
"California State University-San Bernardino","Childcare and Welfare",462387
"California State University-San Bernardino","Research Support Programs",426347.29
"California State University-San Bernardino","Medical R&D",412366
"California State University-San Bernardino","Science, Engineering, and Mathematics",408560
"California State University-San Marcos","Education",5105660.49
"California State University-San Marcos","Medical R&D",1698171
"California State University-San Marcos","Science, Engineering, and Mathematics",1112801
"California State University-San Marcos","Social Wellness and Development",575000
"California State University-San Marcos","Refugee and Entrant Assistance",425000
"California State University-Stanislaus","Education",3739937.71
"California State University-Stanislaus","Research Support Programs",242135
"California State University-Stanislaus","Wildlife Conservation",50000
"California State University-Stanislaus","Resource Management",43490
"California State University-Stanislaus","Nursing and Health Professionals",16380
"California University of Pennsylvania","Education",1108221
"California University of Pennsylvania","Nursing and Health Professionals",478012
"California University of Pennsylvania","Business",233019
"California University of Pennsylvania","Childcare and Welfare",194733
"Calvin College","Education",1173277
"Calvin College","Medical R&D",281080
"Calvin College","Water Resources",210000
"Cambridge College","Education",449395
"Camden County College","LEASE & RENTAL OF BUILDINGS",5900
"Cameron University","Education",1151899.45
"Campbell University","Education",874493
"Campbell University","EDUCATION & TRAINING SERVICES",693258.78
"Campbell University","Medical R&D",446625
"Campbell University","Individuals with Disabilities",331477
"Campbellsville University","Education",448109
"Canada College","Education",2703270
"Canada College","Science, Engineering, and Mathematics",331225
"Canadian Valley Technology Center","EDUCATION & TRAINING SERVICES",69163.21
"Canisius College","Research Support Programs",342460
"Canisius College","Education",325698
"Canisius College","Medical R&D",202183
"Canisius College","Business",150000
"Cankdeska Cikana Community College","Education",3034004.74
"Cankdeska Cikana Community College","Childcare and Welfare",2610613
"Cankdeska Cikana Community College","Nursing and Health Professionals",1272956
"Cankdeska Cikana Community College","Tribal Programs",435564
"Cankdeska Cikana Community College","Regional Development",129000
"Cape Cod Community College","Education",758252
"Cape Cod Community College","Nursing and Health Professionals",499940
"Cape Coral Technical College","Childcare and Welfare",8713894
"Cape Coral Technical College","Education",2607839.81
"Cape Coral Technical College","Addiction and Recovery",124506
"Cape Fear Community College","Education",396518
"Caribbean University-Bayamon","Humanities and the Arts",30000
"Carl Albert State College","Education",2905168.76
"Carl Sandburg College","Education",806203
"Carleton College","Science, Engineering, and Mathematics",496549
"Carleton College","Education",303063
"Carleton College","Social Wellness and Development",99962
"Carleton College","Addiction and Recovery",94699
"Carlos Albizu University-Miami","Education",524530
"Carlos Albizu University-Miami","Nursing and Health Professionals",479260
"Carlow University","Nursing and Health Professionals",135000
"Carnegie Mellon University","DEFENSE SYSTEMS R&D",129103562.15
"Carnegie Mellon University","Science, Engineering, and Mathematics",80530172.66
"Carnegie Mellon University","Medical R&D",24281789
"Carnegie Mellon University","Defense R&D",8889501
"Carnegie Mellon University","Education",7773616.58
"Carroll College","Education",103898
"Carroll College","Environment",2000
"Carroll University","Education",1098163.14
"Carroll University","Nursing and Health Professionals",691861
"Carteret Community College","Education",272496
"Carthage College","Education",769700
"Carthage College","Science, Engineering, and Mathematics",557807
"Carthage College","PROFESSIONAL SERVICES",20004
"Case Western Reserve University","Medical R&D",254687413
"Case Western Reserve University","Medical R&D (Infectious Diseases)",26086617
"Case Western Reserve University","Science, Engineering, and Mathematics",9713650.09
"Case Western Reserve University","Social Wellness and Development",7102784
"Case Western Reserve University","Research Support Programs",5098150
"Casper College","Humanities and the Arts",10000
"Castleton University","Education",1941332
"Castleton University","Science, Engineering, and Mathematics",308011
"Castleton University","Research Support Programs",242136
"Catholic University of America","Science, Engineering, and Mathematics",10051459.11
