"source","target","value"
"Loma Linda University","GENERAL HEALTH CARE SERVICES",8871861
"Loma Linda University","Medical R&D",7839853
"Loma Linda University","Early Childhood Programs",2036672
"Loma Linda University","Nursing and Health Professionals",1927645
"Loma Linda University","EDUCATION & TRAINING SERVICES",793399.49
"Lone Star College System","Education",1050427.03
"Lone Star College System","Transportation",76493
"Long Beach City College","Business",4312921
"Long Beach City College","Education",594391
"Longwood University","Humanities and the Arts",171755
"Longwood University","Science, Engineering, and Mathematics",85429
"Longy School of Music of Bard College","Academic Exchange Programs",520000
"Longy School of Music of Bard College","Humanities and the Arts",503075
"Longy School of Music of Bard College","Education",140610
"Longy School of Music of Bard College","Environmental R&D",59604
"Longy School of Music of Bard College","Science, Engineering, and Mathematics",15000
"Lorain County Community College","Education",902043
"Loras College","Education",649065
"Lord Fairfax Community College","Education",272496
"Lorenzo Walker Technical College","Childcare and Welfare",3097510
"Los Angeles City College","Education",2237524
"Los Angeles Harbor College","Education",2051488
"Los Angeles Mission College","Education",2030332.88
"Los Angeles Pierce College","Education",314829.74
"Los Angeles Southwest College","Education",1033694
"Los Angeles Valley College","Education",2788878
"Los Angeles Valley College","Childcare and Welfare",480727
"Louisiana College","Environmental R&D",15000
"Louisiana Delta Community College","Business",2024411.01
"Louisiana Delta Community College","Education",874932
"Louisiana Delta Community College","Refugee and Entrant Assistance",429788
"Louisiana Delta Community College","Transportation",96000
"Louisiana State University","Medical R&D",47680745
"Louisiana State University","Homeland Security",21999641.95
"Louisiana State University","Science, Engineering, and Mathematics",16159794.65
"Louisiana State University","Addiction and Recovery",7929482
"Louisiana State University","Medical R&D (Infectious Diseases)",7484090
"Louisiana Tech University","Education",1312488
"Louisiana Tech University","Employment Programs",150000
"Louisiana Tech University","Science, Engineering, and Mathematics",114663
"Louisiana Tech University","Environment",56945
"Louisiana Universities Marine Consortium","Science, Engineering, and Mathematics",1400532
"Louisiana Universities Marine Consortium","Wetland Preservation",600000
"Louisiana Universities Marine Consortium","LEASE & RENTAL EQUIPMENT",86873.04
"Louisiana Universities Marine Consortium","PROFESSIONAL SERVICES",57500
"Lourdes University","Education",613018
"Lourdes University","Nursing and Health Professionals",539544
"Lourdes University","Social Wellness and Development",300000
"Lower Columbia College","Childcare and Welfare",3996290
"Lower Columbia College","Education",393486
"Loyola Marymount University","Education",1188282.48
"Loyola Marymount University","Addiction and Recovery",653457
"Loyola Marymount University","Science, Engineering, and Mathematics",508544
"Loyola Marymount University","Business",262400
"Loyola Marymount University","Research Support Programs",242136
"Loyola University Chicago","Medical R&D",11122400
"Loyola University Chicago","Medical R&D (Infectious Diseases)",4056497
"Loyola University Chicago","Nursing and Health Professionals",2468098
"Loyola University Chicago","Addiction and Recovery",2266605
"Loyola University Chicago","Education",984200
"Loyola University Maryland","Science, Engineering, and Mathematics",514355
"Loyola University Maryland","Research Support Programs",8853.92
"Loyola University Maryland","EDUCATION & TRAINING SERVICES",6133.68
"Loyola University New Orleans","Education",474986
"Loyola University New Orleans","Wildlife",20000
"Lurleen B Wallace Community College","Education",1189645
"Luther College","Education",313406
"Luther College","Science, Engineering, and Mathematics",140389
"Luther College","Wildlife",7500
"Lycoming College","Education",648915
"Lynchburg College","Social Wellness and Development",299288
"Lyndon State College","Education",397443
"Lyndon State College","Regional Development",340797
"Lyon College","Education",833270
"Macalester College","Science, Engineering, and Mathematics",946401
"Macalester College","Medical R&D",347107
"Macalester College","EDUCATION & TRAINING SERVICES",26247
"Macomb Community College","Education",719998
"Macomb Community College","Business",400000
"Macomb Community College","Humanities and the Arts",10000
"Macomb Community College","LEASE & RENTAL OF BUILDINGS",3210
"Macomb Community College","EDUCATION & TRAINING SERVICES",2400
"Madison Area Technical College","Education",30910833
"Madison Area Technical College","Fire Suppression Assistance Programs",499760
"Madison Area Technical College","Refugee and Entrant Assistance",361108.16
"Madison Area Technical College","Childcare and Welfare",120811
"Madison Area Technical College","Disaster Response and Assistance",20000
"Madisonville Community College","Education",693401.58
"Madisonville Community College","LEASE & RENTAL OF BUILDINGS",21600
"Madonna University","Education",268684
"Maine College of Art","Humanities and the Arts",40000
"Maine Maritime Academy","Education",184000
"Maine Maritime Academy","NON-NUCLEAR SHIP REPAIR",100000
"Maine Maritime Academy","SHIP & MARINE EQUIPMENT",25000
"Manchester Community College","Education",242135
"Manchester Community College","Nursing and Health Professionals",129700
"Manchester University","Medical R&D",305507
"Manhattan Area Technical College","Education",961558
"Mansfield University of Pennsylvania","Education",254356
"Marian University","EDUCATION & TRAINING SERVICES",664522
"Marian University","Education",557291
"Marian University","Medical R&D",388440
"Marietta College","Environment",100000
"Marietta College","Humanities and the Arts",10000
"Marion Military Institute","Education",379392
"Marion Military Institute","HOUSEKEEPING SERVICES",11268.75
"Marion Technical College","Humanities and the Arts",54787
"Marist College","Education",969011
"Marlboro College","Humanities and the Arts",30802
"Marquette University","Medical R&D",5205219
"Marquette University","Science, Engineering, and Mathematics",3999880
"Marquette University","Nursing and Health Professionals",2637719
"Marquette University","Education",2224420.09
"Marquette University","Social Wellness and Development",1566615
"Mars Hill University","Nursing and Health Professionals",500000
"Mars Hill University","Education",309835
"Marshall B Ketchum University","Nursing and Health Professionals",56232
"Marshall B Ketchum University","EDUCATION & TRAINING SERVICES",48161
"Marshall B Ketchum University","Medical R&D",721
"Marshall University","Medical R&D",6484792
"Marshall University","Education",1565251.48
"Marshall University","Science, Engineering, and Mathematics",1209655
"Marshall University","Nursing and Health Professionals",927058
"Marshall University","Criminal Justice and Public Safety",750000
"Marshalltown Community College","Education",402112
"Maryland Institute College of Art","Humanities and the Arts",43000
"Marymount University","Medical R&D",625562
"Marymount University","Science, Engineering, and Mathematics",26589
"Massachusetts Bay Community College","Education",434452
"Massachusetts College of Liberal Arts","Education",584028
"Massachusetts College of Liberal Arts","Humanities and the Arts",75000
"Massachusetts General Hospital Dietetic Internship","Medical R&D",388729182
"Massachusetts General Hospital Dietetic Internship","Medical R&D (Infectious Diseases)",50695755
"Massachusetts General Hospital Dietetic Internship","Research Support Programs",19243630
"Massachusetts General Hospital Dietetic Internship","Early Childhood Programs",16022302
"Massachusetts General Hospital Dietetic Internship","Social Wellness and Development",8191401
"Massachusetts Institute of Technology","DEFENSE SYSTEMS R&D",1013927137.42
"Massachusetts Institute of Technology","Science, Engineering, and Mathematics",129554658.47
"Massachusetts Institute of Technology","Medical R&D",122607331
"Massachusetts Institute of Technology","Energy Programs",48328132.8
"Massachusetts Institute of Technology","Defense R&D",24286287
"Massachusetts Maritime Academy","NON-NUCLEAR SHIP REPAIR",324694
"Massachusetts Maritime Academy","EDUCATION & TRAINING SERVICES",99368.52
"Massachusetts Maritime Academy","Education",88000
"Massachusetts Maritime Academy","LEASE & RENTAL OF BUILDINGS",14320.8
"Massasoit Community College","Education",309835
"Mayland Community College","Education",284863.02
"Mayo Clinic School of Medicine","Medical R&D",206219471
"Mayo Clinic School of Medicine","GENERAL HEALTH CARE SERVICES",11480878.2
