source,target,value,type
Hurricane Education Recovery,St Thomas University,1440902,grant
Hurricane Education Recovery,Florida International University,1061235,grant
Hurricane Education Recovery,University of Chicago,231205,grant
Hurricane Education Recovery,Broward College,183672,grant
Hurricane Sandy Disaster Relief Activities-FWS,University of Delaware,2447534,grant
Hurricane Sandy Disaster Relief Activities-FWS,University of Rhode Island,129275,grant
Hurricane Sandy Disaster Relief Activities-FWS,Louisiana State University,110000,grant
Hurricane Sandy Disaster Relief Activities-FWS,University of South Carolina-Beaufort,27416,grant
IIP Individual Grants,SIT Graduate Institute,4201166,grant
Immunization Cooperative Agreements,Auburn University,199734,grant
"Immunization Research, Demonstration, Public Information and Education Training and Clinical Skills Improvement Projects",University of Pittsburgh-Pittsburgh Campus,3126950,research
"Immunization Research, Demonstration, Public Information and Education Training and Clinical Skills Improvement Projects",University of Michigan-Ann Arbor,2099999,research
"Immunization Research, Demonstration, Public Information and Education Training and Clinical Skills Improvement Projects",Vanderbilt University,1942130,research
"Immunization Research, Demonstration, Public Information and Education Training and Clinical Skills Improvement Projects",University of Rochester,1226858,research
"Immunization Research, Demonstration, Public Information and Education Training and Clinical Skills Improvement Projects",University of Colorado Denver/Anschutz Medical Campus,794739,research
Impact Aid,Okaloosa Technical College,3639335.43,grant
Impact Aid,Brewster Technical College,605142.34,grant
Impact Aid,George Stone Technical Center,440660.33,grant
Impact Aid,Emerald Coast Technical College,233988.22,grant
Impact Aid,Cape Coral Technical College,41443.81,grant
"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",University of Maryland-College Park,737663.16,contract
"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",University of Virginia,111004,contract
"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",Boston University,80909.67,contract
"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",University of California-San Diego,49000,contract
"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",University of Chicago,26400,contract
Indian Adult Education,Oglala Lakota College,286452,grant
Indian Adult Education,Turtle Mountain Community College,166170,grant
Indian Adult Education,Sinte Gleska University,71533,grant
Indian Adult Education,Nueta Hidatsa Sahnish College,59944,grant
Indian Adult Education,Sitting Bull College,44063,grant
Indian Education -- Special Programs for Indian Children,Fort Peck Community College,1394787,grant
Indian Education -- Special Programs for Indian Children,Salish Kootenai College,1164481,grant
Indian Education -- Special Programs for Indian Children,Turtle Mountain Community College,1118865.19,grant
Indian Education -- Special Programs for Indian Children,CUNY City College,970152,grant
Indian Education -- Special Programs for Indian Children,Oglala Lakota College,812271.98,grant
"Indian Education Facilities, Operations, and Maintenance",United Tribes Technical College,181239,grant
Indian Education Grants to Local Educational Agencies,California State University-East Bay,43401,grant
Indian Education Grants to Local Educational Agencies,United Tribes Technical College,39409,grant
Indian Education Grants to Local Educational Agencies,Brewster Technical College,12341,grant
Indian Education Higher Education Grant ,Sinte Gleska University,712674,grant
Indian Education Higher Education Grant ,Sisseton Wahpeton College,329848,grant
Indian Employment Assistance,Sinte Gleska University,218616,grant
Indian Employment Assistance,Turtle Mountain Community College,38740,grant
Indian Housing Assistance,Sitting Bull College,165,grant
Indian Post Secondary Schools,Navajo Technical University,3750865,grant
Indian School Equalization ,United Tribes Technical College,2008350,grant
Indian Schools Student Transportation,United Tribes Technical College,8330,grant
Indian Self-Determination,United Tribes Technical College,349813,grant
INFORMATION TRAINING,Boston University,36900,contract
INFORMATION TRAINING,University of Nebraska-Lincoln,34080,contract
INFORMATION TRAINING,Rochester Institute of Technology,8100,contract
Injury Prevention and Control Research and State and Community Based Programs,University of Kentucky,4411154,research
Injury Prevention and Control Research and State and Community Based Programs,University of North Carolina at Chapel Hill,3575103,research
Injury Prevention and Control Research and State and Community Based Programs,Johns Hopkins University,2927965,research
Injury Prevention and Control Research and State and Community Based Programs,University of Michigan-Ann Arbor,2418045,research
Injury Prevention and Control Research and State and Community Based Programs,University of Iowa,1568326,research
Innovations in Applied Public Health Research,University of Washington,661039,grant
Innovations in Applied Public Health Research,Columbia University in the City of New York,500000,grant
Innovations in Applied Public Health Research,University of Michigan-Ann Arbor,500000,grant
Innovations in Applied Public Health Research,University of Pittsburgh-Pittsburgh Campus,500000,grant
INSPECT SVCS/AMMO & EXPLOSIVES,University of California-Davis,700,contract
INSPECTION- MISCELLANEOUS,Wichita State University,60350,contract
INSTALL OF INSTRUMENTS & LAB EQ,University of Southern California,29861.51,contract
INSTALL OF MISC EQ,University of Maryland Center for Environmental Science,60000,contract
INSTALLATION OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT,University of Virginia,35824,contract
Integrated Ocean Observing System (IOOS),Rutgers University-New Brunswick,4215310,grant
Integrated Ocean Observing System (IOOS),University of Washington,3264472,grant
Integrated Ocean Observing System (IOOS),University of California-San Diego,2709805,grant
Integrated Ocean Observing System (IOOS),University of Hawaii at Manoa,2659836,grant
Integrated Ocean Observing System (IOOS),Texas A & M University-College Station,2206390,grant
Integrated Programs,Michigan State University,1971988.33,research
Integrated Programs,University of Minnesota-Twin Cities,1252246.25,research
Integrated Programs,Mississippi State University,949760,research
Integrated Programs,Cornell University,887907.04,research
Integrated Programs,North Carolina State University at Raleigh,808173,research
Interagency Hazardous Materials Public Sector Training and Planning Grants,Texas A & M University-College Station,642120,grant
INTERNAL MEDICINE SERVICES,University of California-Davis,1689649,contract
INTERNAL MEDICINE SERVICES,Vanderbilt University,700000,contract
INTERNAL MEDICINE SERVICES,Oregon Health & Science University,646107.98,contract
INTERNAL MEDICINE SERVICES,New York University,546304.97,contract
INTERNAL MEDICINE SERVICES,University of Washington,432214.05,contract
International Forestry Programs,Colorado State University-Fort Collins,588558.6,grant
International Forestry Programs,The University of Montana,442067.21,grant
International Forestry Programs,Mississippi State University,349127,grant
International Forestry Programs,Virginia Polytechnic Institute and State University,199028,grant
International Forestry Programs,University of Florida,198586,grant
International Labor Programs,American University,788858.98,grant
International Labor Programs,University of California-Berkeley,499928.85,grant
International Programs to Combat Human Trafficking,University of Georgia,4000000,grant
"International Programs to Support Democracy, Human Rights and Labor",Ohio College of Massotherapy Inc,175852,grant
International Research and Research Training,Harvard University,3339757,research
International Research and Research Training,University of California-San Francisco,3311141,research
International Research and Research Training,University of North Carolina at Chapel Hill,3299221,research
International Research and Research Training,Johns Hopkins University,2937950,research
International Research and Research Training,Vanderbilt University,2716402,research
International Research and Studies,University of Pittsburgh-Pittsburgh Campus,96425,research
International Research and Studies,Iowa State University,95395,research
International Research and Studies,University of Georgia,93208,research
International Research and Studies,Pennsylvania State University,84850,research
International Research and Studies,Delaware State University,82200,research
"Internships, Training and Workshops for the Office of Air and Radiation",Northern Arizona University,1680000,grant
"Internships, Training and Workshops for the Office of Air and Radiation",University of Michigan-Ann Arbor,350000,grant
"Internships, Training and Workshops for the Office of Air and Radiation",Michigan State University,200000,grant
