"source","target","value"
"Cape Cod Community College","Health Resources and Services Administration",499940
"Cape Coral Technical College","Administration for Children and Families",8713894
"Cape Coral Technical College","Department of Education",2607839.81
"Cape Coral Technical College","Substance Abuse and Mental Health Services Administration",124506
"Cape Fear Community College","Department of Education",396518
"Caribbean University-Bayamon","National Endowment for the Humanities",30000
"Carl Albert State College","Department of Education",2905168.76
"Carl Sandburg College","Department of Education",806203
"Carleton College","National Science Foundation",531430
"Carleton College","Department of Education",268182
"Carleton College","Corporation for National and Community Service",99962
"Carleton College","Substance Abuse and Mental Health Services Administration",94699
"Carlos Albizu University-Miami","Department of Education",524530
"Carlos Albizu University-Miami","Health Resources and Services Administration",479260
"Carlow University","Health Resources and Services Administration",135000
"Carnegie Mellon University","Department of the Air Force",910975935.05
"Carnegie Mellon University","National Science Foundation",52181524
"Carnegie Mellon University","Department of the Navy",32426844
"Carnegie Mellon University","National Institutes of Health",28514205
"Carnegie Mellon University","Department of the Army",21191056
"Carroll College","National Endowment for the Humanities",103898
"Carroll College","Forest Service",2000
"Carroll University","National Science Foundation",1100000
"Carroll University","Health Resources and Services Administration",691861
"Carteret Community College","Department of Education",272496
"Carthage College","National Aeronautics and Space Administration",1367515
"Case Western Reserve University","National Institutes of Health",1168466638.4
"Case Western Reserve University","Centers for Disease Control and Prevention",7326029
"Case Western Reserve University","National Science Foundation",6608339
"Case Western Reserve University","Department of the Army",4692413
"Case Western Reserve University","Department of Energy",2834337.06
"Casper College","National Endowment for the Arts",10000
"Castleton University","Department of Education",2183468
"Castleton University","National Science Foundation",308011
"Catholic University of America","National Institutes of Health",8647925.3
"Catholic University of America","National Aeronautics and Space Administration",7659951.96
"Catholic University of America","National Science Foundation",2290771
"Catholic University of America","Administration on Aging",924934
"Catholic University of America","Department of the Navy",658776
"Cattaraugus Allegany BOCES-Practical Nursing Program","Rural Utilities Service",207205
"Cazenovia College","Department of Education",324127
"Cedar Valley College","Department of Education",467126
"Centenary University","Offices, Boards and Divisions",300000
"Central Alabama Community College","Department of Education",1141959.03
"Central Arizona College","Department of Education",1215808
"Central Arizona College","National Science Foundation",224571
"Central Carolina Community College","Department of Education",1698211
"Central Carolina Technical College","Department of Education",1125573.98
"Central College","Department of Education",1697164
"Central Community College","Administration for Children and Families",2378471
"Central Community College","Department of Education",272496
"Central Connecticut State University","National Science Foundation",4982084
"Central Connecticut State University","Department of Education",494894.83
"Central Connecticut State University","National Aeronautics and Space Administration",215340
"Central Connecticut State University","Mine Safety and Health Administration",71160.4
"Central Connecticut State University","Federal Aviation Administration",64601
"Central Georgia Technical College","Department of Education",724132
"Central Georgia Technical College","Small Business Administration",300000
"Central Georgia Technical College","Department of the Air Force",275464
"Central Georgia Technical College","Occupational Safety and Health Administration",163781
"Central Georgia Technical College","Rural Utilities Service",136500
"Central Lakes College-Brainerd","Department of Education",1774369
"Central Lakes College-Brainerd","Agricultural Research Service",14303
"Central Louisiana Technical Community College","Federal Prison System / Bureau of Prisons",395868.26
"Central Maine Community College","Department of Education",309836
"Central Michigan University","National Institutes of Health",2129088
"Central Michigan University","Environmental Protection Agency",2044703
"Central Michigan University","Department of Education",1432642
"Central Michigan University","Department of Energy",1221000
"Central Michigan University","National Science Foundation",785723
"Central New Mexico Community College","Department of Education",514632
"Central Oregon Community College","Department of Education",450000
"Central Piedmont Community College","National Science Foundation",1500000
"Central Piedmont Community College","Department of Education",385769
"Central State University","Department of Education",3860108
"Central State University","National Institute of Food and Agriculture",1544374.91
"Central State University","National Science Foundation",267890
"Central State University","National Aeronautics and Space Administration",34946
"Central State University","National Park Service",20000
"Central Texas College","Department of the Navy",4835627.26
"Central Texas College","Department of the Army",1755889.34
"Central Texas College","Department of the Air Force",26262.18
"Central Virginia Community College","Department of Education",449580
"Central Washington University","Department of Education",4503912.14
"Central Washington University","National Science Foundation",424298
"Central Washington University","U.S. Geological Survey",376700
"Central Washington University","Forest Service",93885
"Central Washington University","National Aeronautics and Space Administration",69587
"Central Wyoming College","Department of Education",1054252
"Central Wyoming College","Bureau of Land Management",50000
"Central Wyoming College","Economic Development Administration",40000
"Central Wyoming College","Forest Service",2000
