"source","target","value"
"Lamar University","National Science Foundation",405756
"Lamar University","Economic Development Administration",350000
"Lamar University","National Institutes of Health",132600
"Lander University","Department of Education",246948
"Lane College","Department of Education",3440731
"Lane Community College","Small Business Administration",1593426
"Lane Community College","Department of Education",799847
"Lane Community College","National Science Foundation",537310
"Lane Community College","Corporation for National and Community Service",236837.53
"Lane Community College","Health Resources and Services Administration",105979
"Laney College","Department of Education",289201
"Langston University","Department of Education",4312976
"Langston University","Administration on Aging",1175000
"Langston University","National Aeronautics and Space Administration",880368.29
"Langston University","National Institute of Food and Agriculture",553501.1
"Langston University","National Institutes of Health",210731
"Lansing Community College","Department of Education",309834
"Laramie County Community College","Department of Education",243763
"Laredo Community College","Department of Education",1714259
"Laredo Community College","National Science Foundation",100000
"Laredo Community College","International Boundary and Water Commission: U.S.-Mexico",3000
"Las Positas College","Department of Education",1964657.69
"Lawson State Community College-Birmingham Campus","Department of Education",5279150
"Le Moyne College","Department of Education",454809
"Le Moyne College","Health Resources and Services Administration",312500
"Le Moyne College","National Endowment for the Humanities",100000
"Le Moyne College","National Institutes of Health",18624
"Le Moyne-Owen College","Department of Education",2128953
"Lebanon Valley College","National Institute of Standards and Technology",8619
"Lee College","Department of Education",1297883.68
"Lee University","Department of Education",1083050
"Lee University","Forest Service",2700
"Leech Lake Tribal College","Bureau of Indian Affairs and Bureau of Indian Education",1076864
"Leech Lake Tribal College","Department of Education",1059443
"Leech Lake Tribal College","National Institute of Food and Agriculture",226147
"Leech Lake Tribal College","Rural Housing Service",129000
"Leech Lake Tribal College","Forest Service",4200
"Leeward Community College","Department of Education",2563775
"Lehigh Carbon Community College","National Science Foundation",1457409
"Lehigh Carbon Community College","Federal Motor Carrier Safety Administration",85000
"Lehigh Carbon Community College","Department of Education",83824
"Lehigh University","National Science Foundation",10917594
"Lehigh University","National Institutes of Health",5643842
"Lehigh University","Department of Energy",2198891.88
"Lehigh University","National Oceanic and Atmospheric Administration",1562207
"Lehigh University","Department of Education",1352522.62
"Lesley University","Department of Education",546482
"Lester E Cox Medical Center-School of Medical Technology","Rural Utilities Service",235472
"Lester E Cox Medical Center-School of Medical Technology","Health Resources and Services Administration",213238
"Lester E Cox Medical Center-School of Medical Technology","Department of Veterans Affairs",65822.49
"Lester E Cox Medical Center-School of Medical Technology","Federal Prison System / Bureau of Prisons",2091.74
"Lewis & Clark College","National Science Foundation",553201
